,A,B,C
0,ЗЗСО №2,вул. Кирилівська,117
1,ЗЗСО №2,вул. Кирилівська,119/1
2,ЗЗСО №2,вул. Кирилівська,121/2
3,ЗЗСО №2,вул. Кирилівська,123
4,ЗЗСО №2,вул. Кирилівська,127
5,ЗЗСО №2,вул. Кирилівська,127а
6,ЗЗСО №2,вул. Кирилівська,129
7,ЗЗСО №2,вул. Кирилівська,129а
8,ЗЗСО №2,вул. Кирилівська,131
9,ЗЗСО №2,вул. Сирецька,30/1
10,ЗЗСО №2,вул. Сирецька,32
11,ЗЗСО №2,вул. Сирецька,3234
12,ЗЗСО №2,вул. Сирецька,32/2
13,ЗЗСО №2,вул. Сирецька,36
14,ЗЗСО №2,вул. Сирецька,38
15,ЗЗСО №2,вул. Сирецька,38а
16,ЗЗСО №2,вул. Сирецька,38в
17,ЗЗСО №2,вул. Сирецька,38г
18,ЗЗСО №2,вул. Сирецька,40
19,ЗЗСО №2,вул. Сирецька,42/44
20,ЗЗСО №2,вул. Сирецька,44
21,ЗЗСО №2,вул. Сирецька,44а
22,ЗЗСО №2,вул. Сирецька,46
23,ЗЗСО №2,вул. Сирецька,46а
24,ЗЗСО №2,вул. Сирецька,48
25,ЗЗСО №2,вул. Сирецька,48а
26,ЗЗСО №2,вул. Сирецька,50
27,ЗЗСО №2,вул. Сирецька,52
28,ЗЗСО №2,вул. Сирецька,54
29,ЗЗСО №2,вул. Сирецька,56
30,ЗЗСО №2,вул. Сирецька,58
31,ЗЗСО №2,вул. Сирецька,58а
32,ЗЗСО №2,вул. Сирецька,60
33,ЗЗСО №2,вул. Сирецька,62
34,ЗЗСО №2,вул. Сирецька,64
35,ЗЗСО №2,вул. Сирецька,66
36,ЗЗСО №2,вул. Сирецька,68
37,ЗЗСО №2,вул. Сирецька,68а
38,ЗЗСО №2,вул. Сирецька,70
39,ЗЗСО №2,вул. Сирецька,72
40,ЗЗСО №2,вул. Сирецька,74
41,ЗЗСО №2,вул. Сирецька,76
42,ЗЗСО №2,вул. Сирецька,76а
43,ЗЗСО №2,вул. Сирецька,78а
44,ЗЗСО №2,вул. Сирецька,78в
45,ЗЗСО №2,вул. Сирецька,78г
46,ЗЗСО №2,вул. Сирецька,78Е
47,ЗЗСО №2,вул. Сирецька,80
48,ЗЗСО №2,вул. Сирецька,84
49,ЗЗСО №2,вул. Сирецька,86
50,ЗЗСО №2,вул. Сирецька,88
51,ЗЗСО №2,вул. Сирецька,92
52,ЗЗСО №2,вул. Сирецька,94/2
53,ЗЗСО №2,вул. Сирецька,96б
54,ЗЗСО №2,вул. Сирецька,96к3
55,ЗЗСО №2,вул. Сирецька,96д1
56,ЗЗСО №2,вул. Сирецька,96д2
57,ЗЗСО №2,вул. Сирецька,96д4
58,ЗЗСО №2,вул. Копилівська,65
59,ЗЗСО №2,вул. Копилівська,67
60,ЗЗСО №2,вул. Копилівська,67б
61,ЗЗСО №2,вул. Копилівська,"67,к.11"
62,ЗЗСО №2,вул. Копилівська,"67,к.12"
63,ЗЗСО №2,вул. Копилівська,"67,к.13"
64,ЗЗСО №2,вул. Копилівська,69
65,ЗЗСО №2,вул. Копилівська,69а
66,ЗЗСО №2,вул. Бондарська,1/4
67,ЗЗСО №2,вул. Бондарська,3
69,ЗЗСО №2,вул. Бондарська,5а
70,ЗЗСО №2,вул. Бондарська,5/2
71,ЗЗСО №2,вул. Бондарська,9
72,ЗЗСО №2,вул. Бондарська,11
73,ЗЗСО №2,вул. Бондарська,19
74,ЗЗСО №2,вул. Бондарська,21
75,ЗЗСО №2,вул. Валківська,3/1
76,ЗЗСО №2,вул. Валківська,5
81,ЗЗСО №3,проспект В. Порика,3
82,ЗЗСО №3,проспект В. Порика,3а
83,ЗЗСО №3,проспект В. Порика,5
84,ЗЗСО №3,проспект В. Порика,7а
85,ЗЗСО №3,проспект В. Порика,7б
86,ЗЗСО №3,проспект В. Порика,9
87,ЗЗСО №3,проспект В. Порика,9а
88,ЗЗСО №3,проспект В. Порика,9в
89,ЗЗСО №3,проспект В. Порика,9г
90,ЗЗСО №3,проспект В. Порика,11
91,ЗЗСО №3,проспект В. Порика,11а
92,ЗЗСО №3,проспект В. Порика,11б
93,ЗЗСО №3,проспект В. Порика,11в
94,ЗЗСО №3,проспект В. Порика,15
95,ЗЗСО №3,проспект В. Порика,15а
96,ЗЗСО №3,проспект В. Порика,17
97,ЗЗСО №3,проспект Г. Гонгадзе,10
98,ЗЗСО №3,проспект Г. Гонгадзе,12
99,ЗЗСО №3,проспект Г. Гонгадзе,14
100,ЗЗСО №3,проспект Г. Гонгадзе,18
101,ЗЗСО №3,проспект Г. Гонгадзе,18а
102,ЗЗСО №3,проспект Г. Гонгадзе,18б
103,ЗЗСО №3,проспект Г. Гонгадзе,18г
104,ЗЗСО №3,проспект Г. Гонгадзе,18д
105,ЗЗСО №3,проспект Г. Гонгадзе,18Е
106,ЗЗСО №3,проспект Г. Гонгадзе,18Ж
107,ЗЗСО №3,проспект Г. Гонгадзе,18З
108,ЗЗСО №3,проспект Правди,80
109,ЗЗСО №3,проспект Правди,80а
110,ЗЗСО №3,проспект Правди,80б
111,ЗЗСО №3,проспект Правди,80в
112,ЗЗСО №3,проспект Правди,88
113,ЗЗСО №3,проспект Правди,88а
114,ЗЗСО №3,проспект Правди,88б
115,ЗЗСО №3,проспект Правди,90
116,ЗЗСО №6,проспект Г. Гонгадзе,20
117,ЗЗСО №6,проспект Г. Гонгадзе,20а
118,ЗЗСО №6,проспект Г. Гонгадзе,20б
119,ЗЗСО №6,проспект Г. Гонгадзе,20в
120,ЗЗСО №6,проспект Г. Гонгадзе,20г
121,ЗЗСО №6,проспект Г. Гонгадзе,20д
122,ЗЗСО №6,проспект Г. Гонгадзе,20Ж
123,ЗЗСО №6,проспект Г. Гонгадзе,20З
124,ЗЗСО №6,проспект Г. Гонгадзе,20К
125,ЗЗСО №6,проспект Г. Гонгадзе,22
126,ЗЗСО №6,проспект Г. Гонгадзе,24
127,ЗЗСО №6,проспект Г. Гонгадзе,24б
128,ЗЗСО №6,проспект Г. Гонгадзе,26
129,ЗЗСО №6,проспект Г. Гонгадзе,26а
130,ЗЗСО №6,проспект Г. Гонгадзе,28
131,ЗЗСО №6,проспект Г. Гонгадзе,30
132,ЗЗСО №6,проспект Г. Гонгадзе,32
133,ЗЗСО №6,проспект Г. Гонгадзе,32а
134,ЗЗСО №6,проспект Г. Гонгадзе,32в
135,ЗЗСО №6,проспект Г. Гонгадзе,32Ж
136,ЗЗСО №6,проспект Г. Гонгадзе,32з
137,ЗЗСО №6,проспект Г. Гонгадзе,32б
138,ЗЗСО №6,проспект Г. Гонгадзе,32г
139,ЗЗСО №6,проспект Правди,92
140,ЗЗСО №6,проспект Правди,94
141,ЗЗСО №6,проспект Правди,96
142,ЗЗСО №6,проспект Правди,96а
143,ЗЗСО №6,проспект Правди,98
144,ЗЗСО №6,проспект Правди,100
145,ЗЗСО №10,провулок Електриків,3
146,ЗЗСО №10,провулок Електриків,5
147,ЗЗСО №10,провулок Електриків,7
148,ЗЗСО №10,провулок Електриків,9
149,ЗЗСО №10,вул. Електриків,26/30
150,ЗЗСО №10,вул. Електриків,26/30а
151,ЗЗСО №10,вул. Електриків,26/30ак.2
152,ЗЗСО №10,вул. Електриків,28а
153,ЗЗСО №10,вул. Електриків,28б
154,ЗЗСО №10,вул. Електриків,28в
155,ЗЗСО №10,вул. Електриків,28/1
156,ЗЗСО №10,вул. Електриків,28/3
157,ЗЗСО №10,вул. Електриків,28/5
158,ЗЗСО №10,вул. Електриків,28/6
159,ЗЗСО №10,вул. Електриків,28/10
160,ЗЗСО №10,вул. Електриків,28/11
161,ЗЗСО №10,вул. Електриків,28/12
162,ЗЗСО №10,вул. Електриків,28/1З
163,ЗЗСО №10,вул. Електриків,28/І4
164,ЗЗСО №10,вул. Електриків,28/14а
165,ЗЗСО №10,вул. Електриків,29/7
166,ЗЗСО №10,вул. Електриків,30
167,ЗЗСО №10,вул. Електриків,30/5
168,ЗЗСО №10,вул. Електриків,31
169,ЗЗСО №10,вул. Введенська,1
170,ЗЗСО №10,вул. Введенська,3
171,ЗЗСО №10,вул. Введенська,4а
172,ЗЗСО №10,вул. Введенська,5
173,ЗЗСО №10,вул. Введенська,6
174,ЗЗСО №10,вул. Введенська,6а
175,ЗЗСО №10,вул. Введенська,17/9
176,ЗЗСО №10,вул. Введенська,10
177,ЗЗСО №10,вул. Введенська,15а
178,ЗЗСО №10,вул. Оленівська,10
179,ЗЗСО №10,вул. Оленівська,8
180,ЗЗСО №10,вул. Оленівська,16
181,ЗЗСО №10,вул. Костянтинівська,4
182,ЗЗСО №10,вул. Костянтинівська,7
183,ЗЗСО №10,вул. Костянтинівська,16а
184,ЗЗСО №10,вул. Костянтинівська,18а
185,ЗЗСО №10,вул. Костянтинівська,19а
186,ЗЗСО №10,вул. Костянтинівська,31
187,ЗЗСО №10,вул. Костянтинівська,31а
188,ЗЗСО №10,вул. Костянтинівська,32а
189,ЗЗСО №10,вул. Костянтинівська,34
190,ЗЗСО №10,вул. Костянтинівська,36
191,ЗЗСО №10,вул. Костянтинівська,37а
192,ЗЗСО №10,вул. Костянтинівська,43
193,ЗЗСО №10,вул. Костянтинівська,44
194,ЗЗСО №10,вул. Костянтинівська,45
195,ЗЗСО №10,вул. Костянтинівська,51
196,ЗЗСО №10,вул. Костянтинівська,53а
197,ЗЗСО №10,вул. Костянтинівська,54
198,ЗЗСО №10,вул. Костянтинівська,55а
199,ЗЗСО №10,вул. Костянтинівська,56
200,ЗЗСО №10,вул. Костянтинівська,57
201,ЗЗСО №10,вул. Костянтинівська,59/5
202,ЗЗСО №10,вул. Костянтинівська,61
203,ЗЗСО №10,вул. Костянтинівська,63/12
204,ЗЗСО №10,вул. Притисько-Микільська,2а
205,ЗЗСО №10,вул. Притисько-Микільська,9а
206,ЗЗСО №10,вул. Юрківська,26/32
207,ЗЗСО №10,вул. Юрківська,18
208,ЗЗСО №10,вул. Юрківська,25
209,ЗЗСО №10,вул. Юрківська,28
210,ЗЗСО №10,вул. Межигірська,26/24
211,ЗЗСО №10,вул. Межигірська,30б
212,ЗЗСО №10,вул. Межигірська,32а
213,ЗЗСО №10,вул. Межигірська,32б
214,ЗЗСО №10,вул. Межигірська,37
215,ЗЗСО №10,вул. Нижньоюрківська,5
216,ЗЗСО №10,вул. Щекавицька,19/33
217,ЗЗСО №10,вул. Щекавицька,34
218,ЗЗСО №10,вул. Щекавицька,37
219,ЗЗСО №10,вул. Щекавицька,36
220,ЗЗСО №10,вул. Щекавицька,45
221,ЗЗСО №17,вул. Житньоторзька,8
222,ЗЗСО №17,провулок Ярославський,4
223,ЗЗСО №17,провулок Ярославський,7/19
224,ЗЗСО №17,провулок Ярославський,7/9
225,ЗЗСО №17,вул. Н.Юрківська,3
226,ЗЗСО №17,вул. Н.Юрківська,4
227,ЗЗСО №17,вул. Н.Юрківська,8а
228,ЗЗСО №17,вул. Н.Юрківська,13
229,ЗЗСО №17,вул. Н.Юрківська,37
230,ЗЗСО №17,вул. Н.Юрківська,39а
231,ЗЗСО №17,вул. Н.Юрківська,47
232,ЗЗСО №17,вул. Н.Юрківська,49
233,ЗЗСО №17,вул. Юрківська,8/12
234,ЗЗСО №17,вул. Юрківська,12/59
235,ЗЗСО №17,вул. Щекавицька,7/10
236,ЗЗСО №17,вул. Щекавицька,21
237,ЗЗСО №17,вул. Воздвиженська,1б
238,ЗЗСО №17,вул. Воздвиженська,3
239,ЗЗСО №17,вул. Воздвиженська,9/19
240,ЗЗСО №17,вул. Воздвиженська,10б
241,ЗЗСО №17,вул. Воздвиженська,25
242,ЗЗСО №17,вул. Воздвиженська,27
243,ЗЗСО №17,вул. Воздвиженська,29
244,ЗЗСО №17,вул. Воздвиженська,29а
245,ЗЗСО №17,вул. Воздвиженська,29б
246,ЗЗСО №17,вул. Воздвиженська,37г
247,ЗЗСО №17,вул. Костянтинівська,20
248,ЗЗСО №17,вул. Костянтинівська,21/12а
249,ЗЗСО №17,вул. Костянтинівська,22/17а
250,ЗЗСО №17,вул. Костянтинівська,24а
251,ЗЗСО №17,вул. Костянтинівська,25
252,ЗЗСО №17,вул. Костянтинівська,27
253,ЗЗСО №17,вул. Костянтинівська,27а
254,ЗЗСО №17,вул. Костянтинівська,27б
255,ЗЗСО №17,вул. Костянтинівська,46/52
256,ЗЗСО №17,вул. Нижній Вал,17а
257,ЗЗСО №17,вул. Нижній Вал,19/21д
258,ЗЗСО №17,вул. Нижній Вал,19/21Е
259,ЗЗСО №17,вул. Нижній Вал,23а
260,ЗЗСО №17,вул. Нижній Вал,23б
261,ЗЗСО №17,вул. Нижній Вал,23в
262,ЗЗСО №17,вул. Оболонська,3
263,ЗЗСО №17,вул. Оболонська,4а
264,ЗЗСО №17,вул. Оболонська,6
265,ЗЗСО №17,вул. Оболонська,7а
266,ЗЗСО №17,вул. Оболонська,9а
267,ЗЗСО №17,вул. Оболонська,12
268,ЗЗСО №17,вул. Оболонська,13
269,ЗЗСО №17,вул. Кирилівська,2/9а
270,ЗЗСО №17,вул. Кирилівська,14-18
271,ЗЗСО №17,вул. Кирилівська,15
272,ЗЗСО №17,вул. Кирилівська,15г
273,ЗЗСО №17,вул. Кирилівська,20
274,ЗЗСО №17,вул. Кирилівська,20а
275,ЗЗСО №17,вул. Кирилівська,24а
276,ЗЗСО №17,вул. Кирилівська,24б
277,ЗЗСО №17,вул. Кирилівська,30/5
278,ЗЗСО №17,вул. Кирилівська,31
279,ЗЗСО №17,вул. Кирилівська,31б
280,ЗЗСО №17,вул. Кирилівська,31в
281,ЗЗСО №17,вул.Хорива,2а
282,ЗЗСО №17,вул.Хорива,4а
283,ЗЗСО №17,вул.Хорива,6
284,ЗЗСО №17,вул.Хорива,7а
285,ЗЗСО №17,вул. Межигірська,24а
286,ЗЗСО №17,вул. Межигірська,28/27
287,ЗЗСО №17,вул. Межигірська,28
288,ЗЗСО №17,вул. Межигірська,25
289,ЗЗСО №17,вул. Ярославська,10
290,ЗЗСО №17,вул. Ярославська,11а
291,ЗЗСО №17,вул. Ярославська,15/23
292,ЗЗСО №17,вул. Ярославська,20а
293,ЗЗСО №17,вул. Ярославська,20б
294,ЗЗСО №17,вул. Ярославська,21
295,ЗЗСО №17,вул. Ярославська,26
296,ЗЗСО №17,вул. Ярославська,28а
297,ЗЗСО №17,вул. Ярославська,29
298,ЗЗСО №17,вул. Ярославська,30б
299,ЗЗСО №17,вул. Ярославська,31
300,ЗЗСО №17,вул. Ярославська,32/33
301,ЗЗСО №17,вул. Ярославська,32а
302,ЗЗСО №17,вул. Ярославська,35/35а
303,ЗЗСО №17,вул. Ярославська,35/35б
304,ЗЗСО №17,вул. Ярославська,39а
305,ЗЗСО №17,вул. Ярославська,39в
306,ЗЗСО №17,провулок Цимлянський,18
307,ЗЗСО №17,вул. Дегтярна,5
308,ЗЗСО №17,вул. Дегтярна,27
309,ЗЗСО №17,вул. Дегтярна,30
310,ЗЗСО №17,вул. Кожум'яцька,10а
311,ЗЗСО №17,вул. Кожум'яцька,12
312,ЗЗСО №17,вул. Кожум'яцька,12а
313,ЗЗСО №17,вул. Кожум'яцька,12в
314,ЗЗСО №17,вул. Кожум'яцька,12д
315,ЗЗСО №17,вул. Кожум'яцька,12г
316,ЗЗСО №17,вул. Кожум'яцька,12ж
317,ЗЗСО №17,вул. Кожум'яцька,14а
318,ЗЗСО №17,вул. Кожум'яцька,14
319,ЗЗСО №17,вул. Кожум'яцька,14б
320,ЗЗСО №17,вул. Кожум'яцька,14в
321,ЗЗСО №17,вул. Кожум'яцька,14д
322,ЗЗСО №17,вул. Кожум'яцька,16
323,ЗЗСО №17,вул. Кожум'яцька,16а
324,ЗЗСО №17,вул. Кожум'яцька,16б
325,ЗЗСО №17,вул. Кожум'яцька,16в
326,ЗЗСО №17,вул. Кожум'яцька,18
327,ЗЗСО №17,вул. Кожум'яцька,18а
328,ЗЗСО №17,вул. Кожум'яцька,20
329,ЗЗСО №17,вул. Кожум'яцька,20а
330,ЗЗСО №17,вул. Кожум'яцька,20б
331,ЗЗСО №17,вул. Кожум'яцька,20в
332,ЗЗСО №17,вул. Кожум'яцька,20г
333,ЗЗСО №17,вул. Кожум'яцька,22
334,ЗЗСО №17,вул. Кожум'яцька,22а
335,ЗЗСО №17,вул. Кожум'яцька,22
336,ЗЗСО №17,вул. Кожум'яцька,14г
337,"Гімназія №19 ""Межигірська""",вул. Верхній Вал,32
338,"Гімназія №19 ""Межигірська""",вул. Верхній Вал,40а
339,"Гімназія №19 ""Межигірська""",вул. Верхній Вал,40б
340,"Гімназія №19 ""Межигірська""",вул. Верхній Вал,40в
341,"Гімназія №19 ""Межигірська""",вул. Верхній Вал,44
342,"Гімназія №19 ""Межигірська""",вул. Верхній Вал,48/28а
343,"Гімназія №19 ""Межигірська""",вул. Верхній Вал,48/28б
344,"Гімназія №19 ""Межигірська""",вул. Верхній Вал,50а
345,"Гімназія №19 ""Межигірська""",вул. Верхній Вал,50б
346,"Гімназія №19 ""Межигірська""",вул. Верхній Вал,52в
347,"Гімназія №19 ""Межигірська""",вул. Верхній Вал,54/23
348,"Гімназія №19 ""Межигірська""",вул. Воздвиженська,31а секція 1
349,"Гімназія №19 ""Межигірська""",вул. Воздвиженська,31а
350,"Гімназія №19 ""Межигірська""",вул. Воздвиженська,33
351,"Гімназія №19 ""Межигірська""",вул. Волоська,2/19в
352,"Гімназія №19 ""Межигірська""",вул. Волоська,4
353,"Гімназія №19 ""Межигірська""",вул. Волоська,36/38
354,"Гімназія №19 ""Межигірська""",вул. Волоська,37а
355,"Гімназія №19 ""Межигірська""",вул. Волоська,37б
356,"Гімназія №19 ""Межигірська""",вул. Волоська,42
357,"Гімназія №19 ""Межигірська""",вул. Волоська,43/35
358,"Гімназія №19 ""Межигірська""",вул. Волоська,44
359,"Гімназія №19 ""Межигірська""",вул. Волоська,46/32
360,"Гімназія №19 ""Межигірська""",вул. Гончарна,3
361,"Гімназія №19 ""Межигірська""",вул. Гончарна,7а
362,"Гімназія №19 ""Межигірська""",вул. Гончарна,7б
363,"Гімназія №19 ""Межигірська""",вул. Гончарна,8
364,"Гімназія №19 ""Межигірська""",вул. Гончарна,9а
365,"Гімназія №19 ""Межигірська""",вул. Гончарна,10
366,"Гімназія №19 ""Межигірська""",вул. Гончарна,11а
367,"Гімназія №19 ""Межигірська""",вул. Гончарна,11б
368,"Гімназія №19 ""Межигірська""",вул. Гончарна,11в
369,"Гімназія №19 ""Межигірська""",вул. Гончарна,12
370,"Гімназія №19 ""Межигірська""",вул. Гончарна,12а
371,"Гімназія №19 ""Межигірська""",вул. Гончарна,12в
372,"Гімназія №19 ""Межигірська""",вул. Гончарна,13а
373,"Гімназія №19 ""Межигірська""",вул. Гончарна,13б
374,"Гімназія №19 ""Межигірська""",вул. Гончарна,14
375,"Гімназія №19 ""Межигірська""",вул. Гончарна,15а
376,"Гімназія №19 ""Межигірська""",вул. Гончарна,15б
377,"Гімназія №19 ""Межигірська""",вул. Гончарна,16
378,"Гімназія №19 ""Межигірська""",вул. Гончарна,17а
379,"Гімназія №19 ""Межигірська""",вул. Гончарна,17б
380,"Гімназія №19 ""Межигірська""",вул. Гончарна,18
381,"Гімназія №19 ""Межигірська""",вул. Гончарна,18а
382,"Гімназія №19 ""Межигірська""",вул. Гончарна,18б
383,"Гімназія №19 ""Межигірська""",вул. Гончарна,20
384,"Гімназія №19 ""Межигірська""",вул. Гончарна,22
385,"Гімназія №19 ""Межигірська""",вул. Дегтярна,725
386,"Гімназія №19 ""Межигірська""",вул. Дегтярна,29
387,"Гімназія №19 ""Межигірська""",вул. Дегтярна,31
388,"Гімназія №19 ""Межигірська""",вул. Дегтярна,628
389,"Гімназія №19 ""Межигірська""",вул. Дегтярна,32
390,"Гімназія №19 ""Межигірська""",вул. Дегтярна,24-34
391,"Гімназія №19 ""Межигірська""",вул. Електриків,33
392,"Гімназія №19 ""Межигірська""",вул. Кожумяцька,14
393,"Гімназія №19 ""Межигірська""",вул. Кожумяцька,24-34
394,"Гімназія №19 ""Межигірська""",вул. Костянтинівська,5
395,"Гімназія №19 ""Межигірська""",вул. Костянтинівська,10а
396,"Гімназія №19 ""Межигірська""",вул. Межигірська,13/34а
397,"Гімназія №19 ""Межигірська""",вул. Межигірська,13б
398,"Гімназія №19 ""Межигірська""",вул. Межигірська,17
399,"Гімназія №19 ""Межигірська""",вул. Межигірська,19а
400,"Гімназія №19 ""Межигірська""",вул. Межигірська,19а
401,"Гімназія №19 ""Межигірська""",вул. Межигірська,20
402,"Гімназія №19 ""Межигірська""",вул. Межигірська,22
403,"Гімназія №19 ""Межигірська""",вул. Нижній Вал,33а
404,"Гімназія №19 ""Межигірська""",вул. Нижній Вал,33б
405,"Гімназія №19 ""Межигірська""",вул. Нижній Вал,33в
406,"Гімназія №19 ""Межигірська""",вул. Нижній Вал,33г
407,"Гімназія №19 ""Межигірська""",вул. Нижній Вал,35
408,"Гімназія №19 ""Межигірська""",вул. Нижній Вал,37/20а
409,"Гімназія №19 ""Межигірська""",вул. Нижній Вал,41
410,"Гімназія №19 ""Межигірська""",вул. Нижній Вал,49
411,"Гімназія №19 ""Межигірська""",вул. Почайнінська,35
412,"Гімназія №19 ""Межигірська""",вул. Почайнінська,44
413,"Гімназія №19 ""Межигірська""",вул. Спаська,5
414,"Гімназія №19 ""Межигірська""",вул. Спаська,6а
415,"Гімназія №19 ""Межигірська""",вул. Спаська,8а
416,"Гімназія №19 ""Межигірська""",вул. Спаська,8б
417,"Гімназія №19 ""Межигірська""",вул. Хорива,9а
418,"Гімназія №19 ""Межигірська""",вул. Хорива,15/8
419,"Гімназія №19 ""Межигірська""",вул. Хорива,16
420,"Гімназія №19 ""Межигірська""",вул. Хорива,16в
421,"Гімназія №19 ""Межигірська""",вул. Хорива,16/г
422,"Гімназія №19 ""Межигірська""",вул. Хорива,18а
423,"Гімназія №19 ""Межигірська""",вул. Хорива,18/10а
424,"Гімназія №19 ""Межигірська""",вул. Хорива,18/10а
425,"Гімназія №19 ""Межигірська""",вул. Хорива,18/10б
426,"Гімназія №19 ""Межигірська""",вул. Хорива,23/9а
427,"Гімназія №19 ""Межигірська""",вул. Хорива,22/28
428,"Гімназія №19 ""Межигірська""",вул. Хорива,31а
429,"Гімназія №19 ""Межигірська""",вул. Хорива,31б
430,"Гімназія №19 ""Межигірська""",вул. Ярославська,47/29а
431,"Гімназія №19 ""Межигірська""",провулок Хоривий,4
432,"Гімназія ""Либідь"" №34",вул. Їжакевича,5/9
433,"Гімназія ""Либідь"" №34",вул. Їжакевича,7/10
434,"Гімназія ""Либідь"" №34",вул. Їжакевича,8/7
435,"Гімназія ""Либідь"" №34",вул. Їжакевича,9
436,"Гімназія ""Либідь"" №34",провулок Бестужева,20
437,"Гімназія ""Либідь"" №34",вул. Межова,3
438,"Гімназія ""Либідь"" №34",вул. Межова,3а
439,"Гімназія ""Либідь"" №34",вул. Межова,Зб
440,"Гімназія ""Либідь"" №34",вул. Межова,Зв
441,"Гімназія ""Либідь"" №34",вул. Межова,4
442,"Гімназія ""Либідь"" №34",вул. Межова,5
443,"Гімназія ""Либідь"" №34",вул. Межова,6
444,"Гімназія ""Либідь"" №34",вул. Межова,8
445,"Гімназія ""Либідь"" №34",вул. Межова,10
446,"Гімназія ""Либідь"" №34",вул. Межова,11/12
447,"Гімназія ""Либідь"" №34",вул. Межова,15
448,"Гімназія ""Либідь"" №34",вул. Межова,18
449,"Гімназія ""Либідь"" №34",вул. Межова,19
450,"Гімназія ""Либідь"" №34",вул. Межова,19а
451,"Гімназія ""Либідь"" №34",вул. Межова,19б
452,"Гімназія ""Либідь"" №34",вул. Межова,20
453,"Гімназія ""Либідь"" №34",вул. Межова,21
454,"Гімназія ""Либідь"" №34",вул. Межова,21а
455,"Гімназія ""Либідь"" №34",вул. Межова,23
456,"Гімназія ""Либідь"" №34",вул. Межова,23б
457,"Гімназія ""Либідь"" №34",вул. Межова,24
458,"Гімназія ""Либідь"" №34",вул. Межова,26
459,"Гімназія ""Либідь"" №34",вул. Межова,12
460,"Гімназія ""Либідь"" №34",вул. Світлицького,13
461,"Гімназія ""Либідь"" №34",вул. Світлицького,19
462,"Гімназія ""Либідь"" №34",вул. Світлицького,21
463,"Гімназія ""Либідь"" №34",вул. Світлицького,23
464,"Гімназія ""Либідь"" №34",вул. Світлицького,23а
465,"Гімназія ""Либідь"" №34",вул. Світлицького,25
466,"Гімназія ""Либідь"" №34",вул. Світлицького,27
467,"Гімназія ""Либідь"" №34",вул. Світлицького,29/18
468,"Гімназія ""Либідь"" №34",проспект Свободи,8/28
469,"Гімназія ""Либідь"" №34",проспект Свободи,10
470,"Гімназія ""Либідь"" №34",проспект Свободи,14
471,"Гімназія ""Либідь"" №34",проспект Свободи,16
472,"Гімназія ""Либідь"" №34",вул. Червонопільска,5
473,"Гімназія ""Либідь"" №34",вул. Червонопільска,6/26
474,"Гімназія ""Либідь"" №34",вул. Червонопільска,7
475,"Гімназія ""Либідь"" №34",вул. Червонопільска,8
476,"Гімназія ""Либідь"" №34",вул. Червонопільска,9
477,"Гімназія ""Либідь"" №34",вул. Червонопільска,10
478,"Гімназія ""Либідь"" №34",вул. Червонопільска,11/13
479,"Гімназія ""Либідь"" №34",вул. Червонопільска,12а
480,"Гімназія ""Либідь"" №34",вул. Червонопільска,13/16
481,"Гімназія ""Либідь"" №34",вул. Червонопільска,14/14
483,ЗЗСО №45,вул. Полкова,55
484,ЗЗСО №45,вул. Полкова,57а
485,ЗЗСО №45,вул. Полкова,57б
486,ЗЗСО №45,вул. Полкова,57в
487,ЗЗСО №45,вул. Полкова,59
488,ЗЗСО №45,вул. Полкова,59а
489,ЗЗСО №45,вул. Полкова,61
490,ЗЗСО №45,вул. Полкова,61а
491,ЗЗСО №45,вул. Полкова,72
492,ЗЗСО №45,вул. Полкова,74
493,ЗЗСО №45,вул. Полкова,74/76а
494,ЗЗСО №45,вул. Полкова,78
495,ЗЗСО №45,провулок Полковий,1
496,ЗЗСО №45,провулок Полковий,8
497,ЗЗСО №45,провулок Полковий,10
498,ЗЗСО №45,вул. Маршала Гречка,9
499,ЗЗСО №45,вул. Маршала Гречка,11
500,ЗЗСО №45,вул. Маршала Гречка,11а
501,ЗЗСО №45,вул. Маршала Гречка,16
502,ЗЗСО №45,вул. Маршала Гречка,18
503,ЗЗСО №45,вул. Маршала Гречка,18а
504,ЗЗСО №45,вул. Маршала Гречка,18б
505,ЗЗСО №45,вул. Маршала Гречка,18в
506,ЗЗСО №45,вул. Маршала Гречка,18д
507,ЗЗСО №45,вул. Маршала Гречка,20
508,ЗЗСО №45,вул. Маршала Гречка,20а
509,ЗЗСО №45,вул. Маршала Гречка,20б
510,ЗЗСО №45,вул. Маршала Гречка,20в
